"tracking_id","Gene_name","Biotype","GENENAME","log2FoldChange.x","log2FoldChange.y"
"ENSMUSG00000051067","Lingo3","protein_coding","leucine rich repeat and Ig domain containing 3",5.70196195244419,5.35087588509743
"ENSMUSG00000051113","Fam71e1","protein_coding","family with sequence similarity 71, member E1",6.17401020849556,4.08103088952701
"ENSMUSG00000051323","Pcdh19","protein_coding","protocadherin 19",6.54764456628578,4.38091314288812
"ENSMUSG00000051747","Ttn","protein_coding","titin",2.48401131856131,2.57330100763653
"ENSMUSG00000052387","Trpm3","protein_coding","transient receptor potential cation channel, subfamily M, member 3",6.62828648541409,2.61926904545974
"ENSMUSG00000052613","Pcdh15","protein_coding","protocadherin 15",5.42737025686565,4.9983485427053
"ENSMUSG00000053580","Tanc2","protein_coding","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2",4.43675936133835,6.95020951817204
"ENSMUSG00000055415","Atp10b","protein_coding","ATPase, class V, type 10B",7.25701816617543,4.53637760478081
"ENSMUSG00000055761","Nkain3","protein_coding","Na+/K+ transporting ATPase interacting 3",7.35964883993824,6.68371642701486
"ENSMUSG00000055866","Per2","protein_coding","period circadian clock 2",3.40535305523273,4.50104384660293
"ENSMUSG00000056648","Hoxb8","protein_coding","homeobox B8",6.23041287993535,6.18601076743315
"ENSMUSG00000058670","4932411N23Rik","protein_coding","RIKEN cDNA 4932411N23 gene",3.46530384422871,4.36713827518575
"ENSMUSG00000059326","Csf2ra","protein_coding","colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",4.71496020871875,4.74881125648985
"ENSMUSG00000061462","Obscn","protein_coding","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF",3.52172046725426,2.62077114988723
"ENSMUSG00000062312","Erbb2","protein_coding","erb-b2 receptor tyrosine kinase 2",6.13907157285067,3.71752959764097
"ENSMUSG00000064246","Chil1","protein_coding","chitinase-like 1",5.28944904738824,5.53596791260014
"ENSMUSG00000066392","Nrxn3","protein_coding","neurexin III",6.88447063387463,3.2124430635199
"ENSMUSG00000066842","Hmcn1","protein_coding","hemicentin 1",4.66369225719133,3.02478510245059
"ENSMUSG00000068457","Uty","protein_coding","ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome",5.72079923702844,6.34714428762946
"ENSMUSG00000068740","Celsr2","protein_coding","cadherin, EGF LAG seven-pass G-type receptor 2",4.65541873247884,4.77572682922364
"ENSMUSG00000071489","Ptgdr","protein_coding","prostaglandin D receptor",4.7104780560568,5.20555822791666
"ENSMUSG00000072683","Gm7457","processed_transcript","predicted gene 7457",2.85482300520908,3.08908933254989
"ENSMUSG00000078907","Fam186b","protein_coding","family with sequence similarity 186, member B",6.82092780945384,3.47810719459869
"ENSMUSG00000079056","Kcnip3","protein_coding","Kv channel interacting protein 3, calsenilin",5.14325422766586,4.09693359225686
"ENSMUSG00000079173","Zan","protein_coding","zonadhesin",6.32288736223581,3.48078270525447
"ENSMUSG00000085747","Slc13a2os","antisense","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2, opposite strand",6.62223897882244,3.75243763860217
"ENSMUSG00000099176","Mir6238","miRNA","microRNA 6238",7.3143818602917,5.06804564002434
"ENSMUSG00000101969","Gm20125","lincRNA","predicted gene, 20125",4.45653457891372,6.1099929986655
